Smiles	ID	ID_1	origSmiles_1	rdk.fr_C_O_noCOO	rdk.Chi4v	rdk.fr_Ar_COO	rdk.fr_SH	rdk.Chi4n	rdk.SMR_VSA10	rdk.fr_para_hydroxylation	rdk.fr_barbitur	rdk.fr_halogen	rdk.fr_dihydropyridine	rdk.fr_priamide	rdk.fr_Al_COO	rdk.fr_guanido	rdk.fr_furan	rdk.fr_morpholine	rdk.fr_nitroso	rdk.fr_COO2	rdk.fr_amidine	rdk.SMR_VSA7	rdk.fr_benzodiazepine	rdk.fr_Imine	rdk.MolWt	rdk.fr_hdrzine	rdk.fr_urea	rdk.fr_Ar_NH	rdk.fr_quatN	rdk.fr_phos_ester	rdk.fr_benzene	rdk.fr_phos_acid	rdk.fr_sulfone	rdk.VSA_EState10	rdk.fr_aniline	rdk.fr_N_O	rdk.fr_sulfonamd	rdk.fr_thiazole	rdk.TPSA	rdk.EState_VSA8	rdk.PEOE_VSA14	rdk.PEOE_VSA13	rdk.PEOE_VSA12	rdk.PEOE_VSA11	rdk.PEOE_VSA10	rdk.BalabanJ	rdk.fr_lactone	rdk.EState_VSA10	rdk.EState_VSA11	rdk.HeavyAtomMolWt	rdk.fr_nitro_arom	rdk.Chi0	rdk.Chi1	rdk.MolLogP	rdk.fr_nitro	rdk.fr_Al_OH	rdk.fr_azo	rdk.fr_C_O	rdk.fr_ether	rdk.fr_phenol_noOrthoHbond	rdk.fr_alkyl_halide	rdk.NumValenceElectrons	rdk.fr_aryl_methyl	rdk.fr_Ndealkylation2	rdk.fr_term_acetylene	rdk.HallKierAlpha	rdk.fr_C_S	rdk.fr_thiocyan	rdk.fr_ketone_Topliss	rdk.VSA_EState4	rdk.VSA_EState5	rdk.VSA_EState6	rdk.VSA_EState7	rdk.VSA_EState1	rdk.VSA_EState2	rdk.VSA_EState3	rdk.fr_HOCCN	rdk.fr_NH2	rdk.SlogP_VSA12	rdk.EState_VSA9	rdk.SlogP_VSA10	rdk.SlogP_VSA11	rdk.fr_COO	rdk.NHOHCount	rdk.fr_unbrch_alkane	rdk.fr_methoxy	rdk.fr_thiophene	rdk.SlogP_VSA8	rdk.SlogP_VSA9	rdk.SlogP_VSA4	rdk.SlogP_VSA5	rdk.SlogP_VSA6	rdk.SlogP_VSA7	rdk.SlogP_VSA1	rdk.SlogP_VSA2	rdk.SlogP_VSA3	rdk.NumRadicalElectrons	rdk.fr_piperzine	rdk.fr_nitrile	rdk.NumHeteroatoms	rdk.fr_NH1	rdk.fr_NH0	rdk.BertzCT	rdk.LabuteASA	rdk.fr_amide	rdk.Chi3n	rdk.fr_imidazole	rdk.SMR_VSA3	rdk.SMR_VSA2	rdk.SMR_VSA1	rdk.Kappa1	rdk.SMR_VSA6	rdk.Kappa3	rdk.Kappa2	rdk.EState_VSA6	rdk.Chi3v	rdk.SMR_VSA9	rdk.SMR_VSA8	rdk.EState_VSA2	rdk.EState_VSA3	rdk.fr_Ndealkylation1	rdk.EState_VSA1	rdk.fr_ketone	rdk.SMR_VSA5	rdk.Ipc	rdk.fr_diazo	rdk.SMR_VSA4	rdk.fr_Ar_N	rdk.fr_Nhpyrrole	rdk.EState_VSA7	rdk.fr_ester	rdk.EState_VSA4	rdk.NumHDonors	rdk.fr_prisulfonamd	rdk.fr_oxime	rdk.EState_VSA5	rdk.fr_isocyan	rdk.Chi2n	rdk.Chi2v	rdk.HeavyAtomCount	rdk.fr_azide	rdk.NumHAcceptors	rdk.fr_lactam	rdk.fr_allylic_oxid	rdk.VSA_EState8	rdk.fr_oxazole	rdk.VSA_EState9	rdk.fr_piperdine	rdk.fr_Ar_OH	rdk.fr_sulfide	rdk.fr_alkyl_carbamate	rdk.NOCount	rdk.Chi1n	rdk.PEOE_VSA8	rdk.PEOE_VSA7	rdk.PEOE_VSA6	rdk.PEOE_VSA5	rdk.PEOE_VSA4	rdk.PEOE_VSA3	rdk.PEOE_VSA2	rdk.PEOE_VSA1	rdk.fr_imide	rdk.Chi1v	rdk.fr_Al_OH_noTert	rdk.fr_epoxide	rdk.fr_hdrzone	rdk.fr_isothiocyan	rdk.fr_bicyclic	rdk.Chi0n	rdk.fr_phenol	rdk.MolMR	rdk.PEOE_VSA9	rdk.fr_aldehyde	rdk.fr_pyridine	rdk.fr_tetrazole	rdk.RingCount	rdk.fr_nitro_arom_nonortho	rdk.Chi0v	rdk.fr_ArN	rdk.NumRotatableBonds	BioActivity_1	c#BioActivity
COc1ccc(C(O)C(C)NC(C)C(O)c2ccc(OC)cc2)cc1	LEO154181A	LEO154181A	COc1ccc(C(O)C(C)NC(C)C(O)c2ccc(OC)cc2)cc1	0.000	2.776	0.000	0.000	2.776	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	59.658	0.000	0.000	345.439	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	70.950	5.317	0.000	0.000	0.000	0.000	11.499	1.977	0.000	10.213	0.000	318.223	0.000	18.397	11.956	2.837	0.000	2.000	0.000	0.000	2.000	0.000	0.000	136.000	0.000	0.000	0.000	-2.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.474	0.000	11.499	0.000	3.000	0.000	2.000	0.000	0.000	0.000	0.000	37.182	48.531	0.000	14.791	36.516	0.000	0.000	0.000	0.000	5.000	1.000	0.000	584.251	148.773	0.000	4.388	0.000	5.317	0.000	19.687	19.247	14.220	4.950	8.852	14.220	4.388	11.499	0.000	12.084	0.000	0.000	12.208	0.000	38.139	381828.812	0.000	0.000	0.000	0.000	62.378	0.000	22.626	3.000	0.000	0.000	0.000	0.000	6.180	6.180	25.000	0.000	5.000	0.000	0.000	0.000	0.000	57.500	0.000	0.000	0.000	0.000	5.000	8.360	12.084	49.240	24.265	0.000	0.000	0.000	0.000	25.004	0.000	8.360	2.000	0.000	0.000	0.000	0.000	15.139	0.000	97.967	26.428	0.000	0.000	0.000	2.000	0.000	15.139	0.000	8.000	Inactive	Inactive
COc1ccc(S(=O)(=O)N2c3ccc(Cl)cc3[C@](O)(c3ccccc3Cl)C2C(=O)N2CCCC2C(N)=O)cc1OC	LEO154176A	LEO154176A	COc1ccc(S(=O)(=O)N2c3ccc(Cl)cc3[C@](O)(c3ccccc3Cl)C2C(=O)N2CCCC2C(N)=O)cc1OC	2.000	7.759	0.000	0.000	5.646	50.727	0.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	81.836	0.000	0.000	620.511	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	8.333	1.000	0.000	1.000	0.000	139.470	0.000	0.000	15.930	5.907	17.541	11.643	1.804	0.000	23.113	0.000	593.295	0.000	29.690	19.460	3.300	0.000	1.000	0.000	2.000	2.000	0.000	0.000	216.000	0.000	1.000	0.000	-3.510	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	23.202	38.409	5.687	11.499	0.000	3.000	0.000	2.000	0.000	0.000	0.000	0.000	23.969	65.559	10.045	19.513	63.087	25.213	0.000	0.000	0.000	13.000	0.000	2.000	1651.324	246.755	2.000	7.531	0.000	4.900	0.000	32.587	28.999	25.070	4.567	10.716	12.133	9.871	11.499	0.000	44.049	18.591	0.000	39.522	0.000	35.422	1423059712.000	0.000	5.734	0.000	0.000	0.000	0.000	4.305	2.000	0.000	0.000	67.650	0.000	9.720	12.378	41.000	0.000	7.000	0.000	0.000	29.841	0.000	69.048	0.000	0.000	0.000	0.000	10.000	12.601	33.783	49.240	41.401	0.000	0.000	12.723	9.589	25.214	0.000	14.797	0.000	0.000	0.000	0.000	1.000	22.082	0.000	152.831	24.802	0.000	0.000	0.000	5.000	0.000	24.411	0.000	8.000	Inactive	Inactive
COc1cc(C(=O)OCCCCN=C(N)N)cc(OC)c1O	LEO153247A	LEO153247A	COc1cc(C(=O)OCCCCN=C(N)N)cc(OC)c1O	1.000	1.682	0.000	0.000	1.682	11.929	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	17.696	0.000	1.000	311.338	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	129.390	4.992	5.969	0.000	5.750	17.459	0.000	2.568	0.000	9.901	0.000	290.170	0.000	16.535	10.490	0.620	0.000	0.000	0.000	1.000	3.000	1.000	0.000	122.000	0.000	0.000	0.000	-2.640	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	25.678	0.000	17.249	0.000	5.000	3.000	2.000	0.000	0.000	0.000	0.000	23.200	17.125	0.000	20.941	44.407	4.737	0.000	0.000	0.000	8.000	0.000	1.000	516.275	128.222	0.000	2.795	0.000	0.000	0.000	24.112	17.412	27.371	5.041	8.603	0.000	2.795	17.249	0.000	35.378	19.386	0.000	5.969	0.000	12.842	60479.227	0.000	16.460	0.000	0.000	0.000	1.000	0.000	3.000	0.000	0.000	26.352	0.000	4.379	4.379	22.000	0.000	6.000	0.000	0.000	0.000	0.000	58.500	0.000	1.000	0.000	0.000	8.000	6.667	6.545	24.974	0.000	0.000	0.000	4.795	4.992	30.784	0.000	6.667	0.000	0.000	0.000	0.000	0.000	12.665	1.000	81.404	26.390	0.000	0.000	0.000	1.000	0.000	12.665	0.000	9.000	Inactive	Inactive
C=C(c1ccc(C(=O)OC)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	LEO154156A	LEO154156A	C=C(c1ccc(C(=O)OC)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	1.000	4.128	0.000	0.000	4.128	11.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	76.358	0.000	0.000	362.513	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26.300	53.330	5.969	0.000	0.000	0.000	0.000	2.048	0.000	4.795	0.000	332.273	0.000	19.983	12.565	6.192	0.000	0.000	0.000	1.000	1.000	0.000	0.000	142.000	1.000	0.000	0.000	-2.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.737	0.000	0.000	0.000	0.000	0.000	1.000	0.000	5.573	0.000	6.924	78.712	42.977	0.000	0.000	13.079	15.567	0.000	0.000	0.000	2.000	0.000	0.000	898.666	162.812	0.000	6.177	0.000	0.000	0.000	9.531	19.413	7.110	3.454	6.670	12.133	6.177	0.000	0.000	16.799	5.563	0.000	0.000	0.000	58.290	785351.625	0.000	0.000	0.000	0.000	12.133	1.000	11.137	0.000	0.000	0.000	42.205	0.000	9.028	9.028	27.000	0.000	2.000	0.000	0.000	0.000	0.000	56.333	0.000	0.000	0.000	0.000	2.000	9.603	0.000	76.118	58.539	0.000	0.000	4.795	0.000	4.737	0.000	9.603	0.000	0.000	0.000	0.000	1.000	17.402	0.000	112.382	12.673	0.000	0.000	0.000	3.000	0.000	17.402	0.000	4.000	Inactive	Inactive
COc1ccn2ncc(-c3nc4[nH][nH]c(=NC(=O)c5ccc(F)cc5)c4cc3F)c2c1	LEO152664A	LEO152664A	COc1ccn2ncc(-c3nc4[nH][nH]c(=NC(=O)c5ccc(F)cc5)c4cc3F)c2c1	1.000	3.257	0.000	0.000	3.257	22.457	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	77.544	0.000	0.000	420.379	0.000	0.000	2.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.430	25.272	0.000	5.907	0.000	16.952	17.261	1.607	0.000	9.185	4.390	406.267	0.000	21.535	15.029	2.270	0.000	0.000	0.000	1.000	1.000	0.000	0.000	154.000	0.000	0.000	0.000	-4.340	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.737	8.781	5.750	0.000	2.000	0.000	1.000	0.000	27.807	0.000	11.634	10.358	59.851	0.000	10.225	37.812	0.000	0.000	0.000	0.000	10.000	2.000	4.000	1515.007	172.382	1.000	4.819	0.000	24.795	0.000	18.312	18.674	7.110	3.233	7.167	29.955	4.819	17.007	0.000	16.745	27.863	0.000	17.542	0.000	0.000	20189272.000	0.000	4.992	5.000	2.000	0.000	0.000	0.000	2.000	0.000	0.000	36.529	0.000	6.692	6.692	31.000	0.000	5.000	0.000	0.000	29.676	0.000	51.157	0.000	0.000	0.000	0.000	8.000	9.166	23.390	36.398	0.000	0.000	10.091	18.280	14.992	4.737	0.000	9.166	0.000	0.000	0.000	0.000	2.000	16.057	0.000	108.299	24.210	0.000	2.000	0.000	5.000	0.000	16.057	0.000	4.000	Inactive	Inactive
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1	LEO138905A	LEO138905A	CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1	0.000	4.180	0.000	0.000	2.824	26.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.591	0.000	0.000	323.422	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	-3.130	1.000	0.000	1.000	0.000	90.980	24.574	0.000	0.000	10.023	0.000	17.792	1.643	0.000	8.418	0.000	302.254	0.000	15.742	10.499	0.773	0.000	0.000	0.000	0.000	0.000	0.000	0.000	120.000	0.000	0.000	0.000	-1.670	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.818	0.000	0.000	2.000	0.000	0.000	0.000	11.033	0.000	0.000	26.186	18.591	0.000	9.622	48.254	10.023	0.000	0.000	0.000	8.000	2.000	3.000	751.434	129.746	0.000	4.147	0.000	19.674	0.000	8.418	15.234	17.700	2.932	5.846	6.327	5.785	0.000	0.000	11.795	12.463	0.000	10.023	0.000	38.270	96322.547	0.000	0.000	3.000	1.000	26.235	0.000	29.693	2.000	0.000	0.000	0.000	0.000	5.807	7.680	22.000	0.000	5.000	0.000	0.000	23.542	0.000	31.172	0.000	0.000	0.000	0.000	7.000	7.508	25.328	25.329	6.924	0.000	0.000	23.108	0.000	9.884	0.000	9.160	0.000	0.000	0.000	0.000	1.000	12.782	0.000	86.747	11.139	0.000	0.000	0.000	3.000	0.000	13.598	0.000	6.000	Active	Active
C[C@H](NC(=O)C1CCCO1)[C@H](Oc1ccc(C(=O)O[C@H]2CCCN(C(O)c3coc(O)c3)C2)cc1)c1ccc(C2CC2)cc1	LEO141994A	LEO141994A	C[C@H](NC(=O)C1CCCO1)[C@H](Oc1ccc(C(=O)O[C@H]2CCCN(C(O)c3coc(O)c3)C2)cc1)c1ccc(C2CC2)cc1	2.000	6.016	0.000	0.000	6.016	11.876	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	83.114	0.000	0.000	604.700	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	130.700	29.582	5.969	5.946	5.907	0.000	36.552	1.092	0.000	19.802	0.000	564.380	0.000	30.631	21.335	4.979	0.000	1.000	0.000	2.000	3.000	0.000	0.000	234.000	0.000	1.000	0.000	-3.860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.628	0.000	11.696	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	90.747	65.278	0.000	10.054	64.936	14.268	0.000	0.000	0.000	10.000	1.000	1.000	1411.791	256.453	1.000	8.524	0.000	10.217	0.000	38.430	30.178	19.696	7.258	13.418	29.165	8.524	11.696	0.000	17.895	55.332	0.000	30.509	0.000	81.948	12082378752.000	0.000	0.000	0.000	0.000	6.924	1.000	18.405	3.000	0.000	0.000	30.735	0.000	12.059	12.059	44.000	0.000	9.000	0.000	0.000	4.900	0.000	96.433	1.000	1.000	0.000	0.000	10.000	15.529	31.326	86.759	24.265	0.000	0.000	4.795	9.694	34.158	0.000	15.529	1.000	0.000	0.000	0.000	0.000	24.893	0.000	160.150	11.605	0.000	0.000	0.000	6.000	0.000	24.893	0.000	13.000	Active	Active
COC(=O)N1CCC[C@H](NC(=O)c2ccc(O[C@H](c3ccc(C)cc3)[C@H](C)NC(=O)C(F)(F)F)cn2)C1	LEO131906A	LEO131906A	COC(=O)N1CCC[C@H](NC(=O)c2ccc(O[C@H](c3ccc(C)cc3)[C@H](C)NC(=O)C(F)(F)F)cn2)C1	3.000	3.959	0.000	0.000	3.959	17.908	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	59.416	0.000	0.000	522.524	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	109.860	10.301	18.177	5.907	0.000	0.000	17.547	1.693	0.000	27.555	0.000	493.292	0.000	27.165	17.473	3.538	0.000	0.000	0.000	3.000	2.000	0.000	3.000	200.000	1.000	1.000	0.000	-3.830	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.474	17.966	5.750	0.000	2.000	0.000	1.000	0.000	0.000	0.000	6.924	47.485	42.595	0.000	15.370	66.251	9.531	0.000	0.000	0.000	12.000	2.000	2.000	1093.001	211.879	3.000	5.898	0.000	20.517	0.000	37.029	27.753	20.199	7.576	11.937	24.265	5.898	5.750	0.000	17.485	31.495	0.000	36.230	0.000	51.053	100568376.000	0.000	0.000	1.000	0.000	12.241	0.000	5.563	2.000	0.000	0.000	37.263	0.000	8.817	8.817	37.000	0.000	6.000	0.000	0.000	38.388	0.000	66.528	1.000	0.000	0.000	0.000	9.000	11.683	19.131	44.385	29.829	0.000	13.171	9.779	9.589	25.007	0.000	11.683	0.000	0.000	0.000	0.000	0.000	20.671	0.000	126.911	19.348	0.000	1.000	0.000	3.000	0.000	20.671	0.000	12.000	Active	Active
O=C(CC(F)(F)F)N1CCSC12CCN(c1ncnc3[nH]ccc13)C2	LEO138416A	LEO138416A	O=C(CC(F)(F)F)N1CCSC12CCN(c1ncnc3[nH]ccc13)C2	1.000	5.109	0.000	0.000	3.623	34.520	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.591	0.000	0.000	371.388	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.565	1.000	0.000	0.000	0.000	65.120	14.952	6.176	0.000	5.907	0.000	29.084	1.579	0.000	17.966	0.000	355.260	0.000	17.656	11.880	1.910	0.000	0.000	0.000	1.000	0.000	0.000	3.000	134.000	0.000	0.000	0.000	-1.970	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.762	0.000	18.989	0.000	0.000	1.000	0.000	0.000	0.000	11.033	0.000	0.000	12.842	18.591	0.000	4.900	62.193	4.795	0.000	0.000	0.000	10.000	1.000	4.000	809.806	145.335	1.000	4.673	0.000	19.852	0.000	17.966	16.496	30.287	2.919	5.787	17.959	6.151	0.000	0.000	0.000	31.808	0.000	23.375	0.000	23.889	689224.562	0.000	0.000	3.000	1.000	10.966	0.000	16.851	1.000	0.000	0.000	11.227	0.000	6.241	7.698	25.000	0.000	5.000	0.000	0.000	37.891	0.000	30.043	0.000	0.000	1.000	0.000	6.000	7.922	25.039	12.487	0.000	11.762	13.171	9.968	4.795	14.784	0.000	8.907	0.000	0.000	0.000	0.000	1.000	13.214	0.000	88.725	11.931	0.000	0.000	0.000	4.000	0.000	14.030	0.000	4.000	Active	Active
CN=c1nc2c(c[nH]1)nc(C(C)O)n2[C@H]1CC[C@H](CC#N)CC1	LEO143629A	LEO143629A	CN=c1nc2c(c[nH]1)nc(C(C)O)n2[C@H]1CC[C@H](CC#N)CC1	0.000	3.438	0.000	0.000	3.438	11.164	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.639	0.000	0.000	314.393	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	102.880	30.581	0.000	0.000	5.618	5.647	17.445	2.015	0.000	5.107	0.000	292.217	0.000	16.397	11.135	1.506	0.000	1.000	0.000	0.000	0.000	0.000	0.000	122.000	0.000	0.000	0.000	-2.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.262	0.000	0.000	0.000	2.000	0.000	0.000	0.000	11.164	0.000	17.249	56.998	11.189	0.000	5.618	31.673	0.000	0.000	0.000	1.000	7.000	1.000	5.000	788.984	134.282	0.000	4.636	1.000	19.519	5.262	5.107	15.686	7.048	2.991	6.505	20.168	4.636	6.069	0.000	6.042	23.781	0.000	6.104	0.000	51.174	237188.828	0.000	10.910	4.000	1.000	0.000	0.000	36.847	2.000	0.000	0.000	0.000	0.000	6.209	6.209	23.000	0.000	6.000	0.000	0.000	2.075	0.000	50.092	0.000	0.000	0.000	0.000	7.000	8.091	25.707	38.525	0.000	0.000	10.246	4.984	4.992	14.658	0.000	8.091	1.000	0.000	0.000	0.000	1.000	13.528	0.000	85.657	6.069	0.000	0.000	0.000	3.000	0.000	13.528	0.000	3.000	Active	Active
C[C@@H]1C[C@H]2[C@@H]3CC(F)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C1C(C)(C)C1(C)C)C(=O)OCC#N	LEO125931A	LEO125931A	C[C@@H]1C[C@H]2[C@@H]3CC(F)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C1C(C)(C)C1(C)C)C(=O)OCC#N	3.000	9.400	0.000	0.000	9.400	17.722	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.552	0.000	0.000	559.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	113.690	0.000	11.939	0.000	5.601	18.059	11.896	1.626	0.000	19.490	8.781	520.338	0.000	29.845	18.374	4.931	0.000	1.000	0.000	3.000	2.000	0.000	1.000	218.000	0.000	0.000	0.000	-2.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.736	8.781	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	56.663	74.149	23.552	0.000	0.000	46.809	23.857	0.000	0.000	1.000	9.000	0.000	1.000	1282.761	233.509	0.000	12.227	0.000	0.000	5.262	37.745	28.912	6.607	3.201	8.467	19.917	12.227	6.069	0.000	37.040	0.000	0.000	87.078	1.000	91.523	345013824.000	0.000	45.332	0.000	0.000	27.695	2.000	0.000	1.000	0.000	0.000	19.076	0.000	14.289	14.289	40.000	0.000	7.000	0.000	4.000	33.276	0.000	73.224	0.000	0.000	0.000	0.000	7.000	14.116	35.507	48.162	47.618	0.000	5.262	13.575	9.589	14.580	0.000	14.116	1.000	0.000	0.000	0.000	5.000	24.269	0.000	139.400	12.022	0.000	0.000	0.000	5.000	0.000	24.269	0.000	6.000	Active	Active
Cc1ccc2c(NCC(O)(CC(C)(C)c3cc(Br)cc4c3OCC4)C(F)(F)F)cccc2n1	LEO38235A	LEO38235A	Cc1ccc2c(NCC(O)(CC(C)(C)c3cc(Br)cc4c3OCC4)C(F)(F)F)cccc2n1	0.000	5.019	0.000	0.000	4.514	32.520	0.000	0.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	63.758	0.000	0.000	523.393	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	54.380	26.231	6.176	0.000	0.000	5.601	5.750	1.651	0.000	18.278	0.000	497.185	0.000	24.018	15.395	6.314	0.000	1.000	0.000	0.000	1.000	0.000	3.000	176.000	1.000	0.000	0.000	-2.320	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.930	4.737	18.859	5.750	0.000	2.000	0.000	0.000	0.000	10.903	0.000	6.924	37.089	46.937	0.000	10.054	35.019	11.836	0.000	0.000	0.000	8.000	1.000	1.000	1196.221	198.855	0.000	6.182	0.000	4.984	0.000	23.015	23.825	18.468	4.684	8.472	44.179	6.640	5.750	0.000	0.000	40.931	0.000	30.158	0.000	50.805	18232680.000	0.000	0.000	1.000	0.000	19.056	0.000	15.730	2.000	0.000	0.000	0.000	0.000	9.309	10.224	33.000	0.000	4.000	0.000	0.000	43.471	0.000	37.904	0.000	0.000	0.000	0.000	4.000	10.747	33.225	60.721	35.844	0.000	13.171	0.000	4.984	15.160	0.000	11.540	0.000	0.000	0.000	0.000	2.000	18.684	0.000	126.959	18.668	0.000	1.000	0.000	4.000	0.000	20.270	0.000	7.000	Inactive	Inactive
CN(CC1CCN(S(=O)(=O)CCCC#N)C1)S(=O)(=O)N1CCN(c2ncnc3[nH]ccc23)CC12CC2	LEO46529A	LEO46529A	CN(CC1CCN(S(=O)(=O)CCCC#N)C1)S(=O)(=O)N1CCN(c2ncnc3[nH]ccc23)CC12CC2	0.000	8.820	0.000	0.000	5.453	37.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.591	0.000	0.000	536.684	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	-7.129	1.000	0.000	1.000	0.000	146.600	19.852	0.000	10.209	10.023	0.000	17.792	1.228	0.000	16.836	0.000	504.428	0.000	25.554	17.161	0.263	0.000	0.000	0.000	0.000	0.000	0.000	0.000	196.000	0.000	0.000	0.000	-2.310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.262	5.818	0.000	0.000	1.000	1.000	0.000	0.000	11.033	0.000	17.249	32.104	18.591	0.000	4.900	102.311	20.233	0.000	1.000	1.000	14.000	1.000	7.000	1365.823	211.672	0.000	7.442	0.000	27.868	5.262	16.836	25.344	56.969	4.700	9.531	11.353	11.429	6.069	0.000	24.636	45.565	0.000	25.772	0.000	37.643	127357032.000	0.000	5.918	3.000	1.000	18.332	0.000	29.693	1.000	0.000	0.000	14.938	0.000	10.034	14.082	36.000	0.000	8.000	0.000	0.000	56.864	0.000	38.682	0.000	0.000	0.000	0.000	12.000	12.282	58.934	37.668	0.000	0.000	22.290	22.691	0.000	9.884	0.000	15.288	0.000	0.000	0.000	0.000	1.000	20.375	0.000	135.069	22.747	0.000	0.000	0.000	5.000	0.000	22.008	0.000	9.000	Active	Active
